id,farm_id,location_id,metric_code,value,status,quality_score,recorded_at,created_at
108,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.0800,normal,1.00,2025-04-16 00:00:00+00,2025-08-09 06:58:58.765837+00
109,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.0280,normal,1.00,2025-04-17 00:00:00+00,2025-08-09 06:58:58.765837+00
110,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.0270,normal,1.00,2025-04-18 00:00:00+00,2025-08-09 06:58:58.765837+00
111,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.1550,normal,1.00,2025-04-19 00:00:00+00,2025-08-09 06:58:58.765837+00
112,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.2790,normal,1.00,2025-04-20 00:00:00+00,2025-08-09 06:58:58.765837+00
113,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ph,6.5000,normal,1.00,2024-12-30 00:00:00+00,2025-08-09 06:58:58.765837+00
114,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ph,6.1000,normal,1.00,2024-12-31 00:00:00+00,2025-08-09 06:58:58.765837+00
115,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ph,6.4000,normal,1.00,2025-01-01 00:00:00+00,2025-08-09 06:58:58.765837+00
116,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ph,6.4000,normal,1.00,2025-01-02 00:00:00+00,2025-08-09 06:58:58.765837+00
117,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ph,6.5000,normal,1.00,2025-01-03 00:00:00+00,2025-08-09 06:58:58.765837+00
118,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ph,6.4000,normal,1.00,2025-01-04 00:00:00+00,2025-08-09 06:58:58.765837+00
119,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ph,6.4000,normal,1.00,2025-01-05 00:00:00+00,2025-08-09 06:58:58.765837+00
120,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ph,6.3000,normal,1.00,2025-01-06 00:00:00+00,2025-08-09 06:58:58.765837+00
121,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ph,6.3000,normal,1.00,2025-01-07 00:00:00+00,2025-08-09 06:58:58.765837+00
122,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ph,6.4000,normal,1.00,2025-01-08 00:00:00+00,2025-08-09 06:58:58.765837+00
123,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ph,6.4000,normal,1.00,2025-01-09 00:00:00+00,2025-08-09 06:58:58.765837+00
124,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ph,6.3000,normal,1.00,2025-01-10 00:00:00+00,2025-08-09 06:58:58.765837+00
125,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ph,6.5000,normal,1.00,2025-01-11 00:00:00+00,2025-08-09 06:58:58.765837+00
126,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ph,6.6000,normal,1.00,2025-01-12 00:00:00+00,2025-08-09 06:58:58.765837+00
127,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ph,6.2000,normal,1.00,2025-01-13 00:00:00+00,2025-08-09 06:58:58.765837+00
128,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ph,6.2000,normal,1.00,2025-01-14 00:00:00+00,2025-08-09 06:58:58.765837+00
129,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ph,6.2000,normal,1.00,2025-01-15 00:00:00+00,2025-08-09 06:58:58.765837+00
130,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ph,6.0000,normal,1.00,2025-01-16 00:00:00+00,2025-08-09 06:58:58.765837+00
131,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ph,6.3000,normal,1.00,2025-01-17 00:00:00+00,2025-08-09 06:58:58.765837+00
132,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ph,6.1000,normal,1.00,2025-01-18 00:00:00+00,2025-08-09 06:58:58.765837+00
133,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ph,6.4000,normal,1.00,2025-01-19 00:00:00+00,2025-08-09 06:58:58.765837+00
134,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ph,6.4000,normal,1.00,2025-01-20 00:00:00+00,2025-08-09 06:58:58.765837+00
135,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ph,6.1000,normal,1.00,2025-01-21 00:00:00+00,2025-08-09 06:58:58.765837+00
136,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ph,6.3000,normal,1.00,2025-01-22 00:00:00+00,2025-08-09 06:58:58.765837+00
137,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ph,6.3000,normal,1.00,2025-01-23 00:00:00+00,2025-08-09 06:58:58.765837+00
138,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ph,6.3000,normal,1.00,2025-01-24 00:00:00+00,2025-08-09 06:58:58.765837+00
139,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ph,6.3000,normal,1.00,2025-01-25 00:00:00+00,2025-08-09 06:58:58.765837+00
140,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ph,6.4000,normal,1.00,2025-01-26 00:00:00+00,2025-08-09 06:58:58.765837+00
141,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ph,6.3000,normal,1.00,2025-01-27 00:00:00+00,2025-08-09 06:58:58.765837+00
142,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ph,6.1000,normal,1.00,2025-01-28 00:00:00+00,2025-08-09 06:58:58.765837+00
143,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ph,6.3000,normal,1.00,2025-01-29 00:00:00+00,2025-08-09 06:58:58.765837+00
144,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ph,6.4000,normal,1.00,2025-01-30 00:00:00+00,2025-08-09 06:58:58.765837+00
145,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ph,6.1000,normal,1.00,2025-01-31 00:00:00+00,2025-08-09 06:58:58.765837+00
146,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ph,6.2000,normal,1.00,2025-02-01 00:00:00+00,2025-08-09 06:58:58.765837+00
